rank,slug,source,n_jobs,top_titles,sample_description,industry,confidence
11,usasurveyjob,lever,84,client support rep - Remote Data Entry Agent | Client Support Representative - Remote Data Entry Clerk | Customer Service Agent - Survey Assistant | Customer Service Agent - Survey Panelist | Customer Service Rep - Remote Data Entry Agent,Work from Home Survey Taker (Side Gig) We are looking for people who are motivated to participate in paid research across the country and local areas. Join this Work from Home Portugal Market Research Panel Today. You have two options when it comes to paid research : you can either take part in person or online. This is a great way for you to make extra income at home as data entry clerk. Compensa,other,low
27,focusfinancialpartners,greenhouse,79,"Account Manager | Account Manager (ST) | Accounts Assistant | Assistant Vice President, Senior Associate Counsel - Corporate | Assistant Vice President, Senior Counsel - Litigation","The VP of FP&amp;A is a senior finance leader that will report to the Head of FP&amp;A and lead enterprise-wide FP&amp;A efforts around budgeting, planning, annual forecasting and management reporting for Focus.&nbsp; This role will partner closely with business unit and corporate finance teams as well as business and functional leaders to build scalable and consistent processes and drive deeper i",other,low
29,polene-paris,ashby,79,Ingénieur Innovation Cuir & Matières H/F | Designer Maroquinerie Senior | Senior Leathergoods Designer | Leather Goods Artisan - Osaka | Prototypiste - Modéliste,"LA MAISON POLENE Fondée en 2016, la maison de maroquinerie française Polène se distingue par son savoir-faire artisanal d’excellence en créant des pièces intemporelles, au design organique directement inspiré de la nature. Dans un contexte de forte croissance et d’expansion internationale, nous structurons notre activité en 2026 et nous entourons des meilleurs talents afin de déployer une expertis",other,low
40,iherb,greenhouse,75,"3PL Region Manager- MENA | Affiliate Marketing Specialist- International | Application Security Engineer | Brand Partnerships Manager, Emerging Brands | Category Manager (Bath & Personal Care)","*THIS ROLE&nbsp; IS HYBRID AND REQUIRES ONSITE WORK AT OUR IRVINE OFFICE* &nbsp; Job Summary:&nbsp; The Tax Manager will work on various tax reporting, compliance and planning projects as directed by the Director of Tax. The Tax Manager will support and review month end close activities.&nbsp; &nbsp; Job Expectations: Oversee the end-to-end preparation and filing of state, local, and international",other,low
51,cintas,linkedin,71,Assistant Route Service Sales Representative (4-Day Workweek) | Production Shuttle Driver - CDL (4-Day Workweek) | Production Supervisor - 2nd Shift | Intern | Service Manager,"Requisition Number: 171411 Job Description Cintas is seeking an Account Manager to serve as a liaison between Cintas customers, sales and all business units. Responsibilities include managing business relationships with customers to ensure accurate and timely program implementation increased penetration; growth; profitability; execution of marketing strategy; sales; inventory management; and reten",other,low
57,petco,linkedin,70,Vetco Veterinary Assistant P/T | Senior Sales Associate - Keyholder | Junior Groomer | Sales Associate | Groomer,"Create a healthier, brighter future for pets, pet parents and people! If you want to make a real difference, create an exciting career path, feel welcome to be your whole self and nurture your wellbeing, Petco is the place for you. Our core values capture that spirit as we work to improve lives by doing what’s right for pets, people and our planet. We love all pets like our ownWe’re the future of ",other,low
66,cvx,greenhouse,68,Affärsutvecklingschef CVX Ventures Sweden | Afgangselev | Assistent Analyst | Business Development Manager CVX Ventures Denmark | Business Development Manager CVX Ventures Sweden,"CVX Venture Scout Programme Do you have a passion for sourcing investments and making a difference for growth companies? Do you want to assist an extraordinary team of talented, motivated, driven individuals who all share a deep passion for entrepreneurship? If so, you may be our new Venture Scout. Please note, this is not a full time role, but we will provide remuneration based on success criteri",other,low
68,newrelic,greenhouse,68,Account Executive - Commercial - Fixed Term Contract (Maternity) | Account Executive - Enterprise Expansion | Account Executive - Enterprise Sales | Account Executive- Enterprise Sales (Expansion) | Account Executive - Enterprise Sales - Greenfield,"We are a global team of innovators and pioneers dedicated to shaping the future of observability. At New Relic, we build an intelligent platform that empowers companies to thrive in an AI-first world by giving them unparalleled insight into their complex systems. As we continue to expand our global footprint, we're looking for passionate people to join our mission. If you're ready to help the worl",other,low
73,ableserve,lever,66,07-Licensed Lead Building Engineer | 2nd Shift Building Engineer | Assistant Chief Building Engineer | Assistant Chief Engineer | Assistant Chief Engineer – Office Building,The Workplace Guest Experience Coordinator is responsible for the day-to-day operation and administrative activities at multiple buildings within the district. Leads Supervisors to ensure conformance to contract requirements. Develops and implements cost control measures and level of service standards to ensure compliance with customer specifications / contract requirements for assigned buildings.,other,low
75,disher,lever,66,Account Executive | Assistant Controller | Automation Controls Engineer | Automation Mechanical Designer | Automation Mechanical Engineer,"Talent Consultant - Contract - Zeeland, Michigan DISHER is currently seeking an intuitive, analytical, and tenacious individual to provide professional talent acquisition support for our customers. As a part of the team, you will lead and coordinate the recruitment process (planning, sourcing, screening, and hiring) to acquire the best talent. These responsibilities will call on you to find, foste",other,low
