"rank","slug","source","n_jobs","top_titles","sample_description"
"1","newrelic","greenhouse","68","Account Executive - Commercial - Fixed Term Contract (Maternity) | Account Executive - Enterprise Expansion | Account Executive - Enterprise Sales | Account Executive- Enterprise Sales (Expansion) | Account Executive - Enterprise Sales - Greenfield","We are a global team of innovators and pioneers dedicated to shaping the future of observability. At New Relic, we build an intelligent platform that empowers companies to thrive in an AI-first world by giving them unparalleled insight into their complex systems. As we continue to expand our global footprint, we're looking for passionate people to join our mission. If you're ready to help the worl"
"2","togetherai","greenhouse","55","AI Infrastructure Engineer | AI infrastructure Engineer (SRE) Amsterdam | AI Researcher, Core ML (Turbo) | Analytics Engineer — Data Warehouse | Backend Software Engineer — Data Platform & AI Data Products","About the role As an IT (Sys Admin) Engineer, you will be working across identity, devices, SaaS platforms, and supporting end users. You should be organized, collaborative, and eager to learn while working within established systems and processes. Remote Working 2-3 days a week in the office Amsterdam. Responsibilities&nbsp; Provide reliable, hands-on IT support for our in-office and remote emplo"
"3","samsungsemiconductor","greenhouse","53","Account Director, Sales | Compensation Partner | Director, Design Verification | Director, Foundry Customer Engineering | Director, Foundry Sales and Business Development","Please Note: To provide the best candidate experience amidst our high application volumes, each candidate is limited to 10 applications across all open jobs within a 6-month period.&nbsp; Advancing the World’s Technology Together Our technology solutions power the tools you use every day--including smartphones, electric vehicles, hyperscale data centers, IoT devices, and so much more. Here, you’ll"
"4","podium81","greenhouse","51","Account Executive | Account Executive - AI Software Sales | AI Customer Success Manager, Mid-Market | AI Customer Success Manager - SMB | AI Customer Success Manager - SMB (Automotive)","At Podium, we bring AI Employees to local businesses that turn every conversation into revenue. Trusted by 60,000+ businesses across Auto, Home Services, and Aesthetics, Podium captures and converts leads 24/7, driving both new business and repeat customers. In under 24 months, we crossed $100M in AI Agent ARR, scaling 300% year-over-year. During this time, we’ve deployed 10,000 AI employees to em"
"5","duolingo","greenhouse","50","Business Development Manager | Corporate Counsel (Marketing) | Country Marketing Manager | Country Marketing Manager, Turkey | Creative Director, Marketing","Our mission at Duolingo is to develop the best education in the world and make it universally available. It’s a big mission, and that’s where you come in! At Duolingo, you’ll join a team that cares about educating our users, experimenting with big ideas, making fact-based decisions, and finding innovative solutions to complex problems. You’ll have limitless learning opportunities and daily collabo"
"6","comstock","greenhouse","47","Asset Manager (Hospitality) | Bilingual (English & Spanish) Director, Janitorial Services | Chief Engineer (Luxury Residences) | Flex Security Officer | FT Porter (Mon-Fri, 2pm-9pm)","&nbsp; Job Overview The Security Officer for ParkX Management ensures that the facility is run smoothly, safely, cleanly, and is a good experience for residents, tenants, and guests. Key Responsibilities Complete hourly patrol route of the property using the security system Access control for guests, tenants and vendors Ensure no property is being damaged Conduct of routine foot patrols in and aro"
"7","garnerhealth","greenhouse","45","Business Development Representative | Client Success Director (Jumbo Market) | Data Analyst II | Data Engineer II | Data Scientist II","Garner’s mission is to transform the healthcare economy, delivering high-quality and affordable care for all.&nbsp; We are fundamentally reimagining how healthcare works in the U.S. by partnering with employers to redesign healthcare benefits using clear incentives and powerful, data-driven insights. Our approach guides employees to higher-quality, lower-cost care, creating a system that works bet"
"8","brainlabs","greenhouse","44","Amazon Ads Specialist | Associate Director, Client Planning | Associate Director, Data Strategy | Associate Director, Paid Search | Associate Director, Paid Social","Brainlabs is the media agency built to answer one question: what's actually driving profit? Founded in 2012 by Daniel Gilbert, we were built by engineers before we were a media agency. Today, 1,000+ Brainlabbers across five continents use our proprietary agents, built on 32 media tools and over 2,500 logged experiments, to help brands connect every channel they plan and buy to one thing: the botto"
"9","confluent","ashby","44","Senior Software Engineer | Senior Manager, Engineering - KORA | Senior Software Engineer II | Staff Software Engineer | Staff Software Engineer - Flink SQL","We’re not just building better tech. We’re rewriting how data moves and what the world can do with it. With Confluent, data doesn’t sit still. Our platform puts information in motion, streaming in near real-time so companies can react faster, build smarter, and deliver experiences as dynamic as the world around them. It takes a certain kind of person to join this team. Those who ask hard questions"
"10","elliptic","ashby","44","Backend Software Engineer (AI) | Senior Data Reliability Engineer | Mid-Market Sales Executive - New York City | Senior Human Resources Business Partner | Account Executive","Company description At Elliptic, we believe cryptocurrency will play a huge role in the future of value transfer, and we care deeply about helping to build this future. In order for cryptocurrency to flourish, it’s important to prevent criminal abuse of the technology. Elliptic is the global leader in detecting, preventing, and pursuing criminal activity in cryptocurrencies. Our clients include th"
